topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv3/chassis_feedback,1789537742.066238,1789537742.066097,1789537742.066096,3,1011,995,2525,0.08835956233977764,0.06980495784382591,0.08835956233977764,0.06980495784382591,0.08066435350316035,0.06340160365708457,0.08094872924755209,0.06347898758426541,0.08835956233977764,0.06980495784382591,0.07908226009180178,-0.13563025511064652,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789537742.0676346,1789537742.0674875,1789537742.067487,2,1012,996,2527,0.1315592348864954,0.11172689536831737,0.1315592348864954,0.11172689536831737,0.1194418405242768,0.10078662872220176,0.11931265621328223,0.10119424903409938,0.13117820454288084,0.11150703762886591,0.12134262108587338,-0.14123014015312157,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789537742.0716898,1789537742.0715287,1789537742.0715272,1,1017,996,2540,0.11289235623621668,0.09353802789534965,0.11289235623621668,0.09353802789534965,0.10470923491878341,0.08617431914125986,0.1049547981337341,0.08642367104944779,0.11289235623621668,0.09353802789534965,0.10321519206578317,-0.14285288236057328,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789537742.074293,1789537742.0740986,1789537742.0740974,3,1012,996,2527,0.08810051035986016,0.06966636030019832,0.08810051035986016,0.06966636030019832,0.08042786228556692,0.06327571995483262,0.08071140429903384,0.06335295023644795,0.08810051035986016,0.06966636030019832,0.07888343533002924,-0.13474975852411078,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789537742.0796537,1789537742.0794868,1789537742.0794866,2,1013,997,2530,0.13119615521053715,0.11151701181420623,0.13119615521053715,0.11151701181420623,0.11911220266350003,0.10059729690757144,0.11965922096885984,0.10139377311178294,0.1315592348864954,0.11172689536831737,0.12164306512740639,-0.14238728703588124,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789537742.0796888,1789537742.0795462,1789537742.0795453,1,1018,997,2542,0.1132246217661155,0.09371314248656207,0.1132246217661155,0.09371314248656207,0.10501741583187191,0.0863356479719929,0.1049547981337341,0.08642367104944779,0.11289235623621668,0.09353802789534965,0.10321519206578317,-0.14285288236057328,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789537742.086224,1789537742.086095,1789537742.086094,3,1013,997,2530,0.08837206501459324,0.0698010175290924,0.08837206501459324,0.0698010175290924,0.08067576732362704,0.06339802479562924,0.08096018330653244,0.06347540435468155,0.08837206501459324,0.0698010175290924,0.07908654127184282,-0.13575044990476434,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789537742.0876207,1789537742.087486,1789537742.0874858,2,1014,998,2532,0.13157093410911447,0.11173395332777109,0.13157093410911447,0.11173395332777109,0.1194524621783441,0.10079299556822081,0.11932898317740206,0.10120330075152191,0.13119615521053715,0.11151701181420623,0.12135658351237169,-0.14128740771230297,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789537742.0916622,1789537742.0915437,1789537742.0915425,1,1019,998,2545,0.11290043140808852,0.09354750991483159,0.11290043140808852,0.09354750991483159,0.10471672475331895,0.08618305469610665,0.10496230553336644,0.08643243188128302,0.11290043140808852,0.09354750991483159,0.10322397066146005,-0.14284249852122707,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789537742.0943785,1789537742.0942123,1789537742.0942113,3,1014,998,2532,0.0881108653687475,0.06966289707807331,0.0881108653687475,0.06966289707807331,0.0804373154797125,0.06327257442128703,0.08072089081966138,0.06334980086366605,0.0881108653687475,0.06966289707807331,0.07888688122341041,-0.13485076688555506,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789537742.0996492,1789537742.0994864,1789537742.099486,2,1015,999,2535,0.13120459953786093,0.1115220697293747,0.13120459953786093,0.1115220697293747,0.1191198692176451,0.10060185955308765,0.11966986195400806,0.1014001783120449,0.13157093410911447,0.11173395332777109,0.12165244371844278,-0.14242060922008085,0.0,False,False,False,False,False,False,False
