topic,bag_stamp,header_stamp,experiment_id,method_id,path_progress_actual_1,path_progress_actual_2,path_progress_actual_3,path_velocity_actual_1,path_velocity_actual_2,path_velocity_actual_3,common_velocity_lower_bound,common_velocity_upper_bound,common_velocity_reference,channel_input_raw_1,channel_input_raw_2,channel_input_raw_3,channel_input_limited_1,channel_input_limited_2,channel_input_limited_3
/multi_agv/controller_state,1788412650.437621,1788412650.437156,exp2a_m1_r1_unloaded_serial,M1_R1,0.3290525272957003,0.3288697422504759,0.3280054830589787,0.04789995649085898,0.061223016299441,0.04867009152081681,-0.019999999999999997,0.11,0.0499379679908466,0.006929801353855729,-0.05932360732096666,0.01008250706347972,0.006929801353855729,-0.05932360732096666,0.01008250706347972
/multi_agv/controller_state,1788412650.4477923,1788412650.4472134,exp2a_m1_r1_unloaded_serial,M1_R1,0.32961461505949113,0.3291418285255092,0.3284217968251938,0.052435442117720284,0.055766698152228136,0.049301421043384,-0.019999999999999997,0.11,0.0499379679908466,-0.01640797747441242,-0.030460428225085275,0.007054664002603171,-0.01640797747441242,-0.030460428225085275,0.007054664002603171
/multi_agv/controller_state,1788412650.4576766,1788412650.4572086,exp2a_m1_r1_unloaded_serial,M1_R1,0.330276569309096,0.3298445496814136,0.32893703017479436,0.04202785393350394,0.05054840173307085,0.0440954621237889,-0.019999999999999997,0.11,0.04993722848247628,0.03536737354982443,-0.005281672036607905,0.036436145564918775,0.03536737354982443,-0.005281672036607905,0.036436145564918775
/multi_agv/controller_state,1788412650.4676623,1788412650.4671745,exp2a_m1_r1_unloaded_serial,M1_R1,0.330276569309096,0.3298445496814136,0.32893703017479436,0.04202785393350394,0.05054840173307085,0.0440954621237889,-0.019999999999999997,0.11,0.04993722848247628,0.03809174690357952,-0.0024887658973670916,0.039535423877558054,0.03809174690357952,-0.0024887658973670916,0.039535423877558054
/multi_agv/controller_state,1788412650.4783616,1788412650.4771612,exp2a_m1_r1_unloaded_serial,M1_R1,0.3310047034962742,0.33021807377310997,0.3315130797031062,0.04100583464806467,0.0340661288739129,0.08301276748873129,-0.019999999999999997,0.11,0.04993722848247628,0.04197807422136976,0.08004870562931767,-0.18846167768323596,0.04197807422136976,0.08004870562931767,-0.18846167768323596
/multi_agv/controller_state,1788412650.4877272,1788412650.4871793,exp2a_m1_r1_unloaded_serial,M1_R1,0.3310047034962742,0.33021807377310997,0.3315130797031062,0.04100583464806467,0.0340661288739129,0.08301276748873129,-0.019999999999999997,0.11,0.04993722848247628,0.044703787423712366,0.08266154516568228,-0.18536147581395213,0.044703787423712366,0.08266154516568228,-0.18536147581395213
/multi_agv/controller_state,1788412650.4978642,1788412650.49726,exp2a_m1_r1_unloaded_serial,M1_R1,0.3329632894187039,0.3311677250586784,0.33264522624042764,0.05796506680723847,0.03944140560519892,0.07370893925948029,-0.019999999999999997,0.11,0.049936663778025796,-0.04934457891395364,0.05408148299649512,-0.13923419297493156,-0.04934457891395364,0.05408148299649512,-0.13923419297493156
/multi_agv/controller_state,1788412650.5077472,1788412650.507178,exp2a_m1_r1_unloaded_serial,M1_R1,0.3329632894187039,0.3311677250586784,0.33264522624042764,0.05796506680723847,0.03944140560519892,0.07370893925948029,-0.019999999999999997,0.11,0.049936663778025796,-0.046514930626637266,0.05674416481985611,-0.1361186309718539,-0.046514930626637266,0.05674416481985611,-0.1361186309718539
/multi_agv/controller_state,1788412650.517774,1788412650.5172117,exp2a_m1_r1_unloaded_serial,M1_R1,0.3334355529467163,0.331850517836259,0.33333836785045623,0.05423633852607448,0.04293518592121416,0.07051988984394171,-0.019999999999999997,0.11,0.049936663778025796,-0.02740796763697934,0.03844398792563965,-0.12002251637699068,-0.02740796763697934,0.03844398792563965,-0.12002251637699068
/multi_agv/controller_state,1788412650.528083,1788412650.5272217,exp2a_m1_r1_unloaded_serial,M1_R1,0.3337384898713689,0.33282561381976755,0.33316777268576836,0.05096326863802231,0.05874694953645695,0.05213438972561417,-0.019999999999999997,0.11,0.049936663778025796,-0.00966605395180245,-0.04376036789103744,-0.013735864516878474,-0.00966605395180245,-0.04376036789103744,-0.013735864516878474
/multi_agv/controller_state,1788412650.5382214,1788412650.537285,exp2a_m1_r1_unloaded_serial,M1_R1,0.33459098073526305,0.3333430544353585,0.33396904709795844,0.0549727710496538,0.05562545222784799,0.05505165214755371,-0.019999999999999997,0.11,0.04993590884812724,-0.03202477515960028,-0.028091465440197964,-0.03207006095898969,-0.03202477515960028,-0.028091465440197964,-0.03207006095898969
