topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1789458501.3145325,1789458501.3145325,0.5875
/camera/world/agv2_confidence,1789458501.3145444,1789458501.3145444,0.5287
/camera/world/agv3_confidence,1789458501.314837,1789458501.314837,0.5317
/camera/world/agv1_confidence,1789458501.3596878,1789458501.3596878,0.5424
/camera/world/agv3_confidence,1789458501.3598907,1789458501.3598907,0.5754
/camera/world/agv2_confidence,1789458501.3600016,1789458501.3600016,0.5735
/camera/world/agv1_confidence,1789458501.3886669,1789458501.3886669,0.5827
/camera/world/agv3_confidence,1789458501.3889096,1789458501.3889096,0.5748
/camera/world/agv2_confidence,1789458501.3889387,1789458501.3889387,0.5773
/camera/world/agv1_confidence,1789458501.4183254,1789458501.4183254,0.577
/camera/world/agv3_confidence,1789458501.4183385,1789458501.4183385,0.5744
/camera/world/agv2_confidence,1789458501.418412,1789458501.418412,0.5818
/camera/world/agv1_confidence,1789458501.450652,1789458501.450652,0.6026
/camera/world/agv2_confidence,1789458501.450764,1789458501.450764,0.5217
/camera/world/agv3_confidence,1789458501.4509075,1789458501.4509075,0.5686
/camera/world/agv3_confidence,1789458501.4895077,1789458501.4895077,0.5349
/camera/world/agv2_confidence,1789458501.4895463,1789458501.4895463,0.5683
/camera/world/agv1_confidence,1789458501.4895713,1789458501.4895713,0.5652
/camera/world/agv1_confidence,1789458501.5202148,1789458501.5202148,0.5506
/camera/world/agv3_confidence,1789458501.5204446,1789458501.5204446,0.5764
/camera/world/agv2_confidence,1789458501.5205188,1789458501.5205188,0.5761
/camera/world/agv2_confidence,1789458501.5838213,1789458501.5838213,0.5745
/camera/world/agv1_confidence,1789458501.5838432,1789458501.5838432,0.5726
/camera/world/agv3_confidence,1789458501.584043,1789458501.584043,0.5741
/camera/world/agv1_confidence,1789458501.5844748,1789458501.5844748,0.5717
/camera/world/agv2_confidence,1789458501.5845547,1789458501.5845547,0.5051
/camera/world/agv3_confidence,1789458501.5846522,1789458501.5846522,0.536
/camera/world/agv1_confidence,1789458501.620503,1789458501.620503,0.5923
/camera/world/agv2_confidence,1789458501.6208177,1789458501.6208177,0.5754
/camera/world/agv3_confidence,1789458501.6209185,1789458501.6209185,0.5774
/camera/world/agv2_confidence,1789458501.6519,1789458501.6519,0.5701
/camera/world/agv1_confidence,1789458501.651918,1789458501.651918,0.5835
/camera/world/agv3_confidence,1789458501.6520698,1789458501.6520698,0.5763
/camera/world/agv3_confidence,1789458501.6935933,1789458501.6935933,0.5211
/camera/world/agv2_confidence,1789458501.6936262,1789458501.6936262,0.575
/camera/world/agv1_confidence,1789458501.6936276,1789458501.6936276,0.5887
/camera/world/agv3_confidence,1789458501.724984,1789458501.724984,0.5758
/camera/world/agv2_confidence,1789458501.72499,1789458501.72499,0.571
/camera/world/agv1_confidence,1789458501.7250354,1789458501.7250354,0.5636
/camera/world/agv1_confidence,1789458501.7532218,1789458501.7532218,0.6028
/camera/world/agv3_confidence,1789458501.7532852,1789458501.7532852,0.5753
/camera/world/agv2_confidence,1789458501.753346,1789458501.753346,0.5754
/camera/world/agv2_confidence,1789458501.781873,1789458501.781873,0.5733
/camera/world/agv1_confidence,1789458501.7818854,1789458501.7818854,0.5935
/camera/world/agv3_confidence,1789458501.7819366,1789458501.7819366,0.5741
/camera/world/agv2_confidence,1789458501.817189,1789458501.817189,0.5721
/camera/world/agv1_confidence,1789458501.8171988,1789458501.8171988,0.6015
/camera/world/agv3_confidence,1789458501.8172827,1789458501.8172827,0.5668
/camera/world/agv2_confidence,1789458501.8563824,1789458501.8563824,0.5754
/camera/world/agv3_confidence,1789458501.8564456,1789458501.8564456,0.5728
/camera/world/agv1_confidence,1789458501.856465,1789458501.856465,0.5842
/camera/world/agv3_confidence,1789458501.886435,1789458501.886435,0.5741
/camera/world/agv1_confidence,1789458501.886473,1789458501.886473,0.5825
/camera/world/agv2_confidence,1789458501.8864768,1789458501.8864768,0.5752
/camera/world/agv1_confidence,1789458501.919093,1789458501.919093,0.6037
/camera/world/agv3_confidence,1789458501.919202,1789458501.919202,0.583
/camera/world/agv2_confidence,1789458501.9192033,1789458501.9192033,0.5735
/camera/world/agv1_confidence,1789458501.9521086,1789458501.9521086,0.6042
/camera/world/agv3_confidence,1789458501.9522066,1789458501.9522066,0.5232
/camera/world/agv2_confidence,1789458501.9522166,1789458501.9522166,0.5732
/camera/world/agv1_confidence,1789458501.986496,1789458501.986496,0.6038
/camera/world/agv3_confidence,1789458501.9867058,1789458501.9867058,0.5738
/camera/world/agv2_confidence,1789458501.986729,1789458501.986729,0.5583
/camera/world/agv1_confidence,1789458502.0155456,1789458502.0155456,0.6024
/camera/world/agv2_confidence,1789458502.015675,1789458502.015675,0.5742
/camera/world/agv3_confidence,1789458502.0157444,1789458502.0157444,0.5671
/camera/world/agv1_confidence,1789458502.054413,1789458502.054413,0.5711
/camera/world/agv2_confidence,1789458502.0544193,1789458502.0544193,0.5495
/camera/world/agv3_confidence,1789458502.0546725,1789458502.0546725,0.5755
/camera/world/agv1_confidence,1789458502.0869787,1789458502.0869787,0.5604
/camera/world/agv3_confidence,1789458502.0870476,1789458502.0870476,0.5755
/camera/world/agv2_confidence,1789458502.0870788,1789458502.0870788,0.5658
/camera/world/agv2_confidence,1789458502.1226237,1789458502.1226237,0.5542
/camera/world/agv1_confidence,1789458502.1227086,1789458502.1227086,0.5791
/camera/world/agv3_confidence,1789458502.1230862,1789458502.1230862,0.5819
/camera/world/agv1_confidence,1789458502.1574335,1789458502.1574335,0.5879
/camera/world/agv2_confidence,1789458502.1575627,1789458502.1575627,0.5591
/camera/world/agv3_confidence,1789458502.1576045,1789458502.1576045,0.5781
/camera/world/agv2_confidence,1789458502.1881187,1789458502.1881187,0.5748
/camera/world/agv1_confidence,1789458502.1881776,1789458502.1881776,0.582
/camera/world/agv3_confidence,1789458502.1882782,1789458502.1882782,0.5295
/camera/world/agv1_confidence,1789458502.2259114,1789458502.2259114,0.5467
/camera/world/agv3_confidence,1789458502.225914,1789458502.225914,0.5808
/camera/world/agv2_confidence,1789458502.2259984,1789458502.2259984,0.5703
/camera/world/agv1_confidence,1789458502.2519953,1789458502.2519953,0.5888
/camera/world/agv2_confidence,1789458502.2520235,1789458502.2520235,0.5369
/camera/world/agv3_confidence,1789458502.252326,1789458502.252326,0.5668
/camera/world/agv2_confidence,1789458502.2863142,1789458502.2863142,0.5726
/camera/world/agv3_confidence,1789458502.2864635,1789458502.2864635,0.5162
/camera/world/agv1_confidence,1789458502.286473,1789458502.286473,0.5743
/camera/world/agv2_confidence,1789458502.3246357,1789458502.3246357,0.5686
/camera/world/agv1_confidence,1789458502.3246458,1789458502.3246458,0.5899
/camera/world/agv3_confidence,1789458502.3247411,1789458502.3247411,0.5807
/camera/world/agv1_confidence,1789458502.352788,1789458502.352788,0.5864
/camera/world/agv3_confidence,1789458502.3527899,1789458502.3527899,0.5793
/camera/world/agv2_confidence,1789458502.3528342,1789458502.3528342,0.5769
/camera/world/agv2_confidence,1789458502.3937516,1789458502.3937516,0.5436
/camera/world/agv1_confidence,1789458502.3937836,1789458502.3937836,0.5802
/camera/world/agv3_confidence,1789458502.3938055,1789458502.3938055,0.5741
/camera/world/agv1_confidence,1789458502.4192848,1789458502.4192848,0.5856
/camera/world/agv3_confidence,1789458502.4194045,1789458502.4194045,0.5849
/camera/world/agv2_confidence,1789458502.419486,1789458502.419486,0.5638
/camera/world/agv2_confidence,1789458502.455719,1789458502.455719,0.5819
/camera/world/agv1_confidence,1789458502.4557436,1789458502.4557436,0.5358
/camera/world/agv3_confidence,1789458502.4557714,1789458502.4557714,0.5786
/camera/world/agv1_confidence,1789458502.4922721,1789458502.4922721,0.5635
/camera/world/agv3_confidence,1789458502.49261,1789458502.49261,0.5622
/camera/world/agv2_confidence,1789458502.4926143,1789458502.4926143,0.5324
/camera/world/agv1_confidence,1789458502.521903,1789458502.521903,0.4319
/camera/world/agv2_confidence,1789458502.5223265,1789458502.5223265,0.5593
/camera/world/agv3_confidence,1789458502.5225658,1789458502.5225658,0.5735
/camera/world/agv1_confidence,1789458502.551651,1789458502.551651,0.5855
/camera/world/agv2_confidence,1789458502.5519748,1789458502.5519748,0.5561
/camera/world/agv3_confidence,1789458502.5521743,1789458502.5521743,0.5263
/camera/world/agv1_confidence,1789458502.5824358,1789458502.5824358,0.579
/camera/world/agv2_confidence,1789458502.582626,1789458502.582626,0.583
/camera/world/agv3_confidence,1789458502.582645,1789458502.582645,0.5784
/camera/world/agv2_confidence,1789458502.6231463,1789458502.6231463,0.5768
/camera/world/agv1_confidence,1789458502.623153,1789458502.623153,0.5709
/camera/world/agv3_confidence,1789458502.6232274,1789458502.6232274,0.5726
/camera/world/agv1_confidence,1789458502.6594262,1789458502.6594262,0.5789
/camera/world/agv2_confidence,1789458502.659486,1789458502.659486,0.5759
/camera/world/agv3_confidence,1789458502.659715,1789458502.659715,0.5763
/camera/world/agv1_confidence,1789458502.6892862,1789458502.6892862,0.582
/camera/world/agv3_confidence,1789458502.6892896,1789458502.6892896,0.5055
/camera/world/agv2_confidence,1789458502.689315,1789458502.689315,0.5784
/camera/world/agv1_confidence,1789458502.7250807,1789458502.7250807,0.5929
/camera/world/agv3_confidence,1789458502.7250907,1789458502.7250907,0.5783
/camera/world/agv2_confidence,1789458502.7250948,1789458502.7250948,0.5718
/camera/world/agv1_confidence,1789458502.753855,1789458502.753855,0.598
/camera/world/agv3_confidence,1789458502.7539551,1789458502.7539551,0.5756
/camera/world/agv2_confidence,1789458502.7539816,1789458502.7539816,0.5723
/camera/world/agv1_confidence,1789458502.7906692,1789458502.7906692,0.5971
/camera/world/agv3_confidence,1789458502.7906857,1789458502.7906857,0.5792
/camera/world/agv2_confidence,1789458502.7907047,1789458502.7907047,0.5747
/camera/world/agv1_confidence,1789458502.8181868,1789458502.8181868,0.5421
/camera/world/agv2_confidence,1789458502.8183079,1789458502.8183079,0.5736
/camera/world/agv3_confidence,1789458502.8183393,1789458502.8183393,0.5758
/camera/world/agv1_confidence,1789458502.8501897,1789458502.8501897,0.5387
/camera/world/agv3_confidence,1789458502.8502593,1789458502.8502593,0.581
/camera/world/agv2_confidence,1789458502.8502617,1789458502.8502617,0.5757
/camera/world/agv1_confidence,1789458502.8892677,1789458502.8892677,0.5722
/camera/world/agv3_confidence,1789458502.8893332,1789458502.8893332,0.5407
/camera/world/agv2_confidence,1789458502.889445,1789458502.889445,0.575
/camera/world/agv2_confidence,1789458502.91786,1789458502.91786,0.5729
/camera/world/agv1_confidence,1789458502.9178653,1789458502.9178653,0.5389
/camera/world/agv3_confidence,1789458502.918014,1789458502.918014,0.5805
/camera/world/agv2_confidence,1789458502.959373,1789458502.959373,0.5795
/camera/world/agv1_confidence,1789458502.9593837,1789458502.9593837,0.5639
/camera/world/agv3_confidence,1789458502.959489,1789458502.959489,0.5784
/camera/world/agv1_confidence,1789458502.985971,1789458502.985971,0.5753
/camera/world/agv2_confidence,1789458502.9859748,1789458502.9859748,0.5783
/camera/world/agv3_confidence,1789458502.9862137,1789458502.9862137,0.5789
/camera/world/agv2_confidence,1789458503.0174074,1789458503.0174074,0.5729
/camera/world/agv3_confidence,1789458503.017418,1789458503.017418,0.5529
/camera/world/agv1_confidence,1789458503.0174818,1789458503.0174818,0.5791
/camera/world/agv1_confidence,1789458503.0539463,1789458503.0539463,0.6047
/camera/world/agv2_confidence,1789458503.0539885,1789458503.0539885,0.5154
/camera/world/agv3_confidence,1789458503.0541868,1789458503.0541868,0.5694
/camera/world/agv2_confidence,1789458503.0884569,1789458503.0884569,0.5739
/camera/world/agv1_confidence,1789458503.0885444,1789458503.0885444,0.5788
/camera/world/agv3_confidence,1789458503.0887303,1789458503.0887303,0.5786
/camera/world/agv3_confidence,1789458503.1203377,1789458503.1203377,0.5683
/camera/world/agv1_confidence,1789458503.1203895,1789458503.1203895,0.6049
/camera/world/agv2_confidence,1789458503.1204093,1789458503.1204093,0.5751
/camera/world/agv1_confidence,1789458503.150646,1789458503.150646,0.5734
