stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_risk_inner_upper,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_risk_inner_upper,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_risk_inner_upper,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper
1789457169.5160666,0.09984026443494265,0.09984026443494265,-0.009535058265022583,0.1090081155564261,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0166659378283347,0.09985988182748022,0.0,0.00039621805343053034,-8.409628909062658e-05,0.0,-0.14195255534346915,0.14195255534346915,nan,-0.014535058265022584,0.1140081155564261,1.0,0.0,0.0,3.0168811184720656,0.09981549177697777,0.0,0.00036298129651779476,-7.454131670542319e-05,0.0,-0.12046878033728312,0.12046878033728312,nan,-0.015,0.115,1.0,0.0,0.0,3.016734292114227,0.09984541970036998,0.0,0.0003856340914038191,-8.227066531529554e-05,0.0,-0.17670399529010428,0.17670399529010428
1789457169.5260684,0.09984026443494265,0.09984026443494265,-0.009535058265022583,0.1090081155564261,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0166659378283347,0.09985988182748022,0.0,0.00039621805343053034,-8.409628909062658e-05,0.0,-0.1419525628448761,0.1419525628448761,nan,-0.014535058265022584,0.1140081155564261,1.0,0.0,0.0,3.0168811184720656,0.09981549177697777,0.0,0.00036298129651779476,-7.454131670542319e-05,0.0,-0.12046877595002448,0.12046877595002448,nan,-0.015,0.115,1.0,0.0,0.0,3.016734292114227,0.09984541970036998,0.0,0.0003856340914038191,-8.227066531529554e-05,0.0,-0.17670398055105596,0.17670398055105596
1789457169.5360627,0.09984057795077324,0.09984057795077324,-0.009545524606543884,0.10903450365611425,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.020738645398219,0.09986020798487777,0.0,0.00039313105589462423,-8.415842032913343e-05,0.0,-0.1419525570476604,0.1419525570476604,nan,-0.014545524606543883,0.11403450365611426,1.0,0.0,0.0,3.0209531556864198,0.09981577935118259,0.0,0.0003620070015695198,-7.431797389466366e-05,0.0,-0.12046877933493523,0.12046877933493523,nan,-0.015,0.115,1.0,0.0,0.0,3.0208067723243146,0.09984574651625935,0.0,0.0003832341901259806,-8.211897305550748e-05,0.0,-0.17670399192047748,0.17670399192047748
1789457169.5461206,0.09984057795077324,0.09984057795077324,-0.009545524606543884,0.10903450365611425,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.020738645398219,0.09986020798487777,0.0,0.00039313105589462423,-8.415842032913343e-05,0.0,-0.14190916787890712,0.14190916787890712,nan,-0.014545524606543883,0.11403450365611426,1.0,0.0,0.0,3.0209531556864198,0.09981577935118259,0.0,0.0003620070015695198,-7.431797389466366e-05,0.0,-0.12044151225519806,0.12044151225519806,nan,-0.015,0.115,1.0,0.0,0.0,3.0208067723243146,0.09984574651625935,0.0,0.0003832341901259806,-8.211897305550748e-05,0.0,-0.17661918318094177,0.17661918318094177
1789457169.5561504,0.09984057795077324,0.09984057795077324,-0.009545524606543884,0.10903450365611425,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.020738645398219,0.09986020798487777,0.0,0.00039313105589462423,-8.415842032913343e-05,0.0,-0.1419525638888059,0.1419525638888059,nan,-0.014545524606543883,0.11403450365611426,1.0,0.0,0.0,3.0209531556864198,0.09981577935118259,0.0,0.0003620070015695198,-7.431797389466366e-05,0.0,-0.12046877533721184,0.12046877533721184,nan,-0.015,0.115,1.0,0.0,0.0,3.0208067723243146,0.09984574651625935,0.0,0.0003832341901259806,-8.211897305550748e-05,0.0,-0.17670397846421895,0.17670397846421895
1789457169.5661397,0.09984057795077324,0.09984057795077324,-0.009545524606543884,0.10903450365611425,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.020738645398219,0.09986020798487777,0.0,0.00039313105589462423,-8.415842032913343e-05,0.0,-0.14195255726463457,0.14195255726463457,nan,-0.014545524606543883,0.11403450365611426,1.0,0.0,0.0,3.0209531556864198,0.09981577935118259,0.0,0.0003620070015695198,-7.431797389466366e-05,0.0,-0.12046877923115018,0.12046877923115018,nan,-0.015,0.115,1.0,0.0,0.0,3.0208067723243146,0.09984574651625935,0.0,0.0003832341901259806,-8.211897305550748e-05,0.0,-0.17670399155882993,0.17670399155882993
1789457169.5760798,0.09983879192477683,0.09983879192477683,-0.009555756159266567,0.10906019178507817,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.024808861095505,0.09985667393841181,0.0,0.00046999476914590934,-8.379420653232547e-05,0.0,-0.14195254223605622,0.14195254223605622,nan,-0.014555756159266567,0.11406019178507817,1.0,0.0,0.0,3.0250255720131247,0.0998161194888503,0.0,0.0003608936503058935,-7.439579877194236e-05,0.0,-0.12046878795670843,0.12046878795670843,nan,-0.015,0.115,1.0,0.0,0.0,3.024877767964204,0.09984358234706836,0.0,0.0004327549695784861,-8.186677424939229e-05,0.0,-0.17670402100435748,0.17670402100435748
1789457169.5860302,0.09983879192477683,0.09983879192477683,-0.009555756159266567,0.10906019178507817,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.024808861095505,0.09985667393841181,0.0,0.00046999476914590934,-8.379420653232547e-05,0.0,-0.14193822083010454,0.14193822083010454,nan,-0.014555756159266567,0.11406019178507817,1.0,0.0,0.0,3.0250255720131247,0.0998161194888503,0.0,0.0003608936503058935,-7.439579877194236e-05,0.0,-0.12045975643791743,0.12045975643791743,nan,-0.015,0.115,1.0,0.0,0.0,3.024877767964204,0.09984358234706836,0.0,0.0004327549695784861,-8.186677424939229e-05,0.0,-0.1766759215181088,0.1766759215181088
1789457169.596028,0.09983879192477683,0.09983879192477683,-0.009555756159266567,0.10906019178507817,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.024808861095505,0.09985667393841181,0.0,0.00046999476914590934,-8.379420653232547e-05,0.0,-0.1419525385199589,0.1419525385199589,nan,-0.014555756159266567,0.11406019178507817,1.0,0.0,0.0,3.0250255720131247,0.0998161194888503,0.0,0.0003608936503058935,-7.439579877194236e-05,0.0,-0.12046879013529346,0.12046879013529346,nan,-0.015,0.115,1.0,0.0,0.0,3.024877767964204,0.09984358234706836,0.0,0.0004327549695784861,-8.186677424939229e-05,0.0,-0.17670402835561877,0.17670402835561877
1789457169.6060925,0.09983879192477683,0.09983879192477683,-0.009555756159266567,0.10906019178507817,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.024808861095505,0.09985667393841181,0.0,0.00046999476914590934,-8.379420653232547e-05,0.0,-0.14195254536057672,0.14195254536057672,nan,-0.014555756159266567,0.11406019178507817,1.0,0.0,0.0,3.0250255720131247,0.0998161194888503,0.0,0.0003608936503058935,-7.439579877194236e-05,0.0,-0.12046878612575253,0.12046878612575253,nan,-0.015,0.115,1.0,0.0,0.0,3.024877767964204,0.09984358234706836,0.0,0.0004327549695784861,-8.186677424939229e-05,0.0,-0.1767040148444983,0.1767040148444983
1789457169.6161346,0.09983558694148008,0.09983558694148008,-0.009565657453194612,0.10908494664322,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0288359439309267,0.09985203543150545,0.0,0.0005337763829301067,-9.229833895191825e-05,0.0,-0.14195253968108143,0.14195253968108143,nan,-0.014565657453194611,0.11408494664322,1.0,0.0,0.0,3.029057184608206,0.09981472832400853,0.0,0.0003645149665407743,-6.801730777956927e-05,0.0,-0.12046878947167622,0.12046878947167622,nan,-0.015,0.115,1.0,0.0,0.0,3.0289064362381786,0.09983999706892623,0.0,0.00047575922777358696,-8.468188926227387e-05,0.0,-0.17670402606658223,0.17670402606658223
1789457169.626044,0.09983558694148008,0.09983558694148008,-0.009565657453194612,0.10908494664322,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0288359439309267,0.09985203543150545,0.0,0.0005337763829301067,-9.229833895191825e-05,0.0,-0.14195256079100294,0.14195256079100294,nan,-0.014565657453194611,0.11408494664322,1.0,0.0,0.0,3.029057184608206,0.09981472832400853,0.0,0.0003645149665407743,-6.801730777956927e-05,0.0,-0.1204687771351931,0.1204687771351931,nan,-0.015,0.115,1.0,0.0,0.0,3.0289064362381786,0.09983999706892623,0.0,0.00047575922777358696,-8.468188926227387e-05,0.0,-0.17670398454269648,0.17670398454269648
1789457169.6360717,0.09983558694148008,0.09983558694148008,-0.009565657453194612,0.10908494664322,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0288359439309267,0.09985203543150545,0.0,0.0005337763829301067,-9.229833895191825e-05,0.0,-0.14195252960814247,0.14195252960814247,nan,-0.014565657453194611,0.11408494664322,1.0,0.0,0.0,3.029057184608206,0.09981472832400853,0.0,0.0003645149665407743,-6.801730777956927e-05,0.0,-0.12046879527540658,0.12046879527540658,nan,-0.015,0.115,1.0,0.0,0.0,3.0289064362381786,0.09983999706892623,0.0,0.00047575922777358696,-8.468188926227387e-05,0.0,-0.17670404572236326,0.17670404572236326
1789457169.6460285,0.09983558694148008,0.09983558694148008,-0.009565657453194612,0.10908494664322,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0288359439309267,0.09985203543150545,0.0,0.0005337763829301067,-9.229833895191825e-05,0.0,-0.1419525424165847,0.1419525424165847,nan,-0.014565657453194611,0.11408494664322,1.0,0.0,0.0,3.029057184608206,0.09981472832400853,0.0,0.0003645149665407743,-6.801730777956927e-05,0.0,-0.1204687878251625,0.1204687878251625,nan,-0.015,0.115,1.0,0.0,0.0,3.0289064362381786,0.09983999706892623,0.0,0.00047575922777358696,-8.468188926227387e-05,0.0,-0.17670402056764486,0.17670402056764486
1789457169.6560843,0.0998320816940158,0.0998320816940158,-0.009575260686637974,0.109108856787585,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0328297458109654,0.09984822413278567,0.0,0.0005587773078504554,-0.0001010267709342649,0.0,-0.14195252375630465,0.14195252375630465,nan,-0.014575260686637975,0.114108856787585,1.0,0.0,0.0,3.0330562446978404,0.0998116743632809,0.0,0.0003719890473066201,-6.257585241460639e-05,0.0,-0.12046879871264939,0.12046879871264939,nan,-0.015,0.115,1.0,0.0,0.0,3.0329020568059075,0.09983634658598084,0.0,0.0004951331655931091,-8.83638503436431e-05,0.0,-0.17670405727568914,0.17670405727568914
1789457169.6660473,0.0998320816940158,0.0998320816940158,-0.009575260686637974,0.109108856787585,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0328297458109654,0.09984822413278567,0.0,0.0005587773078504554,-0.0001010267709342649,0.0,-0.14195253030251914,0.14195253030251914,nan,-0.014575260686637975,0.114108856787585,1.0,0.0,0.0,3.0330562446978404,0.0998116743632809,0.0,0.0003719890473066201,-6.257585241460639e-05,0.0,-0.12046879489633158,0.12046879489633158,nan,-0.015,0.115,1.0,0.0,0.0,3.0329020568059075,0.09983634658598084,0.0,0.0004951331655931091,-8.83638503436431e-05,0.0,-0.1767040443777674,0.1767040443777674
1789457169.6760857,0.0998320816940158,0.0998320816940158,-0.009575260686637974,0.109108856787585,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0328297458109654,0.09984822413278567,0.0,0.0005587773078504554,-0.0001010267709342649,0.0,-0.1419525188291472,0.1419525188291472,nan,-0.014575260686637975,0.114108856787585,1.0,0.0,0.0,3.0330562446978404,0.0998116743632809,0.0,0.0003719890473066201,-6.257585241460639e-05,0.0,-0.12046880153089429,0.12046880153089429,nan,-0.015,0.115,1.0,0.0,0.0,3.0329020568059075,0.09983634658598084,0.0,0.0004951331655931091,-8.83638503436431e-05,0.0,-0.1767040668014158,0.1767040668014158
1789457169.686014,0.0998320816940158,0.0998320816940158,-0.009575260686637974,0.109108856787585,True,True,nan,-0.015,0.115,1.0,0.0,0.0,3.0328297458109654,0.09984822413278567,0.0,0.0005587773078504554,-0.0001010267709342649,0.0,-0.14195255876744775,0.14195255876744775,nan,-0.014575260686637975,0.114108856787585,1.0,0.0,0.0,3.0330562446978404,0.0998116743632809,0.0,0.0003719890473066201,-6.257585241460639e-05,0.0,-0.12046877833902106,0.12046877833902106,nan,-0.015,0.115,1.0,0.0,0.0,3.0329020568059075,0.09983634658598084,0.0,0.0004951331655931091,-8.83638503436431e-05,0.0,-0.17670398859636663,0.17670398859636663
