stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv2_boundary_lower,agv2_boundary_upper,agv3_boundary_lower,agv3_boundary_upper
1788955055.7174978,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.727528,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.7375336,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.7475133,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.7575102,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.767625,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.7775753,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.7876391,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.797562,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8075356,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8175538,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8275142,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8375225,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8475218,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.857551,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8675382,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8775666,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8875756,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.8975227,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.9075463,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.9175398,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.9275212,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.9375205,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.9475203,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.957544,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.9675317,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.9776242,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.987609,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.997502,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.0075324,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.0175362,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.0275996,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.037609,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.0475368,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.057564,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.0675323,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.0775392,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.0875144,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.097543,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.107601,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.1175382,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.1274922,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.137562,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.1475043,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.1576133,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.1674926,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.1775792,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.1875281,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.197523,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.2074864,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.2175741,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.2274885,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.237528,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.2475402,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.2575538,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.2675426,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.277521,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.2875085,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.297531,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.3075588,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.317592,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.327529,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.3376327,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.347688,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.3576248,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.3674865,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.3775363,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.3875225,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.3976142,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.407579,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.4176824,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.4275837,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.4375422,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.447508,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.4576156,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955056.4674976,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
