topic,bag_stamp,header_stamp,confidence
/camera/world/agv2_confidence,1789205090.5147722,1789205090.5147722,0.5838
/camera/world/agv3_confidence,1789205090.51481,1789205090.51481,0.5793
/camera/world/agv1_confidence,1789205090.5565934,1789205090.5565934,0.5847
/camera/world/agv2_confidence,1789205090.5566666,1789205090.5566666,0.5694
/camera/world/agv3_confidence,1789205090.5568118,1789205090.5568118,0.5629
/camera/world/agv1_confidence,1789205090.589482,1789205090.589482,0.5532
/camera/world/agv2_confidence,1789205090.5894868,1789205090.5894868,0.5736
/camera/world/agv3_confidence,1789205090.5896757,1789205090.5896757,0.5414
/camera/world/agv1_confidence,1789205090.6218507,1789205090.6218507,0.5909
/camera/world/agv2_confidence,1789205090.6219292,1789205090.6219292,0.5738
/camera/world/agv3_confidence,1789205090.622,1789205090.622,0.5777
/camera/world/agv1_confidence,1789205090.6494405,1789205090.6494405,0.5681
/camera/world/agv2_confidence,1789205090.6495967,1789205090.6495967,0.5741
/camera/world/agv3_confidence,1789205090.6496124,1789205090.6496124,0.5736
/camera/world/agv1_confidence,1789205090.682123,1789205090.682123,0.6043
/camera/world/agv2_confidence,1789205090.6821404,1789205090.6821404,0.5615
/camera/world/agv3_confidence,1789205090.6821795,1789205090.6821795,0.5874
/camera/world/agv1_confidence,1789205090.7125838,1789205090.7125838,0.6058
/camera/world/agv2_confidence,1789205090.7127476,1789205090.7127476,0.5582
/camera/world/agv3_confidence,1789205090.712764,1789205090.712764,0.5752
/camera/world/agv2_confidence,1789205090.7449803,1789205090.7449803,0.5485
/camera/world/agv1_confidence,1789205090.7450259,1789205090.7450259,0.6067
/camera/world/agv3_confidence,1789205090.7453108,1789205090.7453108,0.5766
/camera/world/agv1_confidence,1789205090.791586,1789205090.791586,0.5708
/camera/world/agv2_confidence,1789205090.791638,1789205090.791638,0.5759
/camera/world/agv3_confidence,1789205090.79178,1789205090.79178,0.578
/camera/world/agv2_confidence,1789205090.8229449,1789205090.8229449,0.5853
/camera/world/agv1_confidence,1789205090.8231153,1789205090.8231153,0.5496
/camera/world/agv3_confidence,1789205090.8231385,1789205090.8231385,0.5767
/camera/world/agv2_confidence,1789205090.8565276,1789205090.8565276,0.5788
/camera/world/agv1_confidence,1789205090.8566196,1789205090.8566196,0.5869
/camera/world/agv3_confidence,1789205090.8567126,1789205090.8567126,0.5574
/camera/world/agv1_confidence,1789205090.8869994,1789205090.8869994,0.597
/camera/world/agv2_confidence,1789205090.887075,1789205090.887075,0.5845
/camera/world/agv3_confidence,1789205090.8873625,1789205090.8873625,0.5814
/camera/world/agv1_confidence,1789205090.9170153,1789205090.9170153,0.5785
/camera/world/agv2_confidence,1789205090.9173477,1789205090.9173477,0.5756
/camera/world/agv3_confidence,1789205090.9173615,1789205090.9173615,0.5584
/camera/world/agv2_confidence,1789205090.9498732,1789205090.9498732,0.5741
/camera/world/agv1_confidence,1789205090.9498987,1789205090.9498987,0.5792
/camera/world/agv3_confidence,1789205090.9501405,1789205090.9501405,0.5741
/camera/world/agv1_confidence,1789205090.9797902,1789205090.9797902,0.6039
/camera/world/agv2_confidence,1789205090.979877,1789205090.979877,0.5755
/camera/world/agv3_confidence,1789205090.980008,1789205090.980008,0.5879
/camera/world/agv1_confidence,1789205091.015659,1789205091.015659,0.5867
/camera/world/agv2_confidence,1789205091.0157187,1789205091.0157187,0.5105
/camera/world/agv3_confidence,1789205091.0157528,1789205091.0157528,0.5887
/camera/world/agv2_confidence,1789205091.058559,1789205091.058559,0.557
/camera/world/agv1_confidence,1789205091.0585868,1789205091.0585868,0.5783
/camera/world/agv3_confidence,1789205091.0588143,1789205091.0588143,0.5788
/camera/world/agv2_confidence,1789205091.0926223,1789205091.0926223,0.57
/camera/world/agv3_confidence,1789205091.0928617,1789205091.0928617,0.5814
/camera/world/agv1_confidence,1789205091.0928798,1789205091.0928798,0.5393
/camera/world/agv1_confidence,1789205091.1210692,1789205091.1210692,0.5754
/camera/world/agv3_confidence,1789205091.1212428,1789205091.1212428,0.5724
/camera/world/agv2_confidence,1789205091.1212695,1789205091.1212695,0.5729
/camera/world/agv1_confidence,1789205091.1541626,1789205091.1541626,0.5378
/camera/world/agv2_confidence,1789205091.1541708,1789205091.1541708,0.5859
/camera/world/agv3_confidence,1789205091.1544092,1789205091.1544092,0.5821
/camera/world/agv1_confidence,1789205091.1824791,1789205091.1824791,0.5994
/camera/world/agv2_confidence,1789205091.1826847,1789205091.1826847,0.5856
/camera/world/agv3_confidence,1789205091.1827533,1789205091.1827533,0.5809
/camera/world/agv1_confidence,1789205091.2179928,1789205091.2179928,0.5766
/camera/world/agv2_confidence,1789205091.2180238,1789205091.2180238,0.572
/camera/world/agv3_confidence,1789205091.2180455,1789205091.2180455,0.5768
/camera/world/agv2_confidence,1789205091.2467594,1789205091.2467594,0.5635
/camera/world/agv1_confidence,1789205091.2467957,1789205091.2467957,0.5885
/camera/world/agv3_confidence,1789205091.246935,1789205091.246935,0.5736
/camera/world/agv1_confidence,1789205091.2798743,1789205091.2798743,0.5893
/camera/world/agv3_confidence,1789205091.2800822,1789205091.2800822,0.576
/camera/world/agv2_confidence,1789205091.2800956,1789205091.2800956,0.5792
/camera/world/agv2_confidence,1789205091.323513,1789205091.323513,0.575
/camera/world/agv1_confidence,1789205091.323678,1789205091.323678,0.5455
/camera/world/agv3_confidence,1789205091.3237069,1789205091.3237069,0.5787
/camera/world/agv2_confidence,1789205091.358502,1789205091.358502,0.5238
/camera/world/agv3_confidence,1789205091.3587332,1789205091.3587332,0.5417
