evidence_scope,phase,metric,M1b_R1,M1_R1
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,lateral_error_IAE,0.004823003492641765,0.004781949406298854
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,lateral_error_rms,0.0016080638468861754,0.0015941898779193774
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,longitudinal_error_peak,0.0003471838684101731,0.0003554995413711699
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,longitudinal_error_IAE,0.000594272889629879,0.0006088157900468754
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,longitudinal_error_rms,0.00023074939206329848,0.00023803255849719435
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,samples,370,370
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,observation_duration_seconds,3.7002763748168945,3.700031280517578
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,robust_margin_minimum,0.0,0.14760983755131019
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,robust_margin_p05,0.0,0.2589823471784908
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,robust_margin_mean,0.43289930357534634,0.7805276924014064
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_minimum,0.0,0.11596392589621474
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_p05,0.0,0.25854204137152076
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_mean,0.43132434342969167,0.7741612364148165
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_below_1p0_duration_seconds,2.4201772212982178,1.9497463703155518
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,wheel_margin_below_1p0_fraction,0.6540530966198379,0.5269540234921506
