stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper
1788759159.6341667,0.08000603219870801,0.08000603219870801,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.29118565189397944,0.08000494875803446,0.0,-5.129218675969935e-06,2.992863759723739e-06,0.0,-0.12691184592281896,0.12691184592281896,-0.015,0.095,1.0,0.0,0.0,0.2911762004111074,0.08000739005222886,0.0,-1.663118924810636e-05,3.2878668465019523e-06,0.0,-0.10519905621294647,0.10519905621294647,-0.015,0.095,1.0,0.0,0.0,0.29118258008457987,0.08000575778586072,0.0,-9.522446022178231e-06,3.1724733423117723e-06,0.0,-0.19336220030267803,0.19336220030267803
1788759159.644275,0.08000603219870801,0.08000603219870801,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.29118565189397944,0.08000494875803446,0.0,-5.129218675969935e-06,2.992863759723739e-06,0.0,-0.12700563102291318,0.12700563102291318,-0.015,0.095,1.0,0.0,0.0,0.2911762004111074,0.08000739005222886,0.0,-1.663118924810636e-05,3.2878668465019523e-06,0.0,-0.10514029112406231,0.10514029112406231,-0.015,0.095,1.0,0.0,0.0,0.29118258008457987,0.08000575778586072,0.0,-9.522446022178231e-06,3.1724733423117723e-06,0.0,-0.1937384339767108,0.1937384339767108
1788759159.6541772,0.08000603219870801,0.08000603219870801,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.29118565189397944,0.08000494875803446,0.0,-5.129218675969935e-06,2.992863759723739e-06,0.0,-0.12710023832941944,0.12710023832941944,-0.015,0.095,1.0,0.0,0.0,0.2911762004111074,0.08000739005222886,0.0,-1.663118924810636e-05,3.2878668465019523e-06,0.0,-0.1050827317091243,0.1050827317091243,-0.015,0.095,1.0,0.0,0.0,0.29118258008457987,0.08000575778586072,0.0,-9.522446022178231e-06,3.1724733423117723e-06,0.0,-0.194119727977846,0.194119727977846
1788759159.6641743,0.08000603219870801,0.08000603219870801,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.29118565189397944,0.08000494875803446,0.0,-5.129218675969935e-06,2.992863759723739e-06,0.0,-0.12719568182728286,0.12719568182728286,-0.015,0.095,1.0,0.0,0.0,0.2911762004111074,0.08000739005222886,0.0,-1.663118924810636e-05,3.2878668465019523e-06,0.0,-0.10502636209844539,0.10502636209844539,-0.015,0.095,1.0,0.0,0.0,0.29118258008457987,0.08000575778586072,0.0,-9.522446022178231e-06,3.1724733423117723e-06,0.0,-0.19450614395637805,0.19450614395637805
1788759159.6742058,0.08000555732388451,0.08000555732388451,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.2943850233079244,0.08000433630622764,0.0,2.745384371016791e-06,1.8602415790547325e-06,0.0,-0.12729158766073875,0.12729158766073875,-0.015,0.095,1.0,0.0,0.0,0.2943763380580049,0.0800070970357893,0.0,-1.5831156344459085e-05,4.073560562534162e-06,0.0,-0.10497138660988543,0.10497138660988543,-0.015,0.095,1.0,0.0,0.0,0.29438222773782663,0.08000523862963657,0.0,-4.03075507035278e-06,2.7575167023376215e-06,0.0,-0.19489616394313117,0.19489616394313117
1788759159.684205,0.08000555732388451,0.08000555732388451,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.2943850233079244,0.08000433630622764,0.0,2.745384371016791e-06,1.8602415790547325e-06,0.0,-0.12738923520931095,0.12738923520931095,-0.015,0.095,1.0,0.0,0.0,0.2943763380580049,0.0800070970357893,0.0,-1.5831156344459085e-05,4.073560562534162e-06,0.0,-0.10491707974521013,0.10491707974521013,-0.015,0.095,1.0,0.0,0.0,0.29438222773782663,0.08000523862963657,0.0,-4.03075507035278e-06,2.7575167023376215e-06,0.0,-0.1952950062462332,0.1952950062462332
1788759159.6941686,0.08000555732388451,0.08000555732388451,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.2943850233079244,0.08000433630622764,0.0,2.745384371016791e-06,1.8602415790547325e-06,0.0,-0.12748905142364494,0.12748905142364494,-0.015,0.095,1.0,0.0,0.0,0.2943763380580049,0.0800070970357893,0.0,-1.5831156344459085e-05,4.073560562534162e-06,0.0,-0.10486325426764824,0.10486325426764824,-0.015,0.095,1.0,0.0,0.0,0.29438222773782663,0.08000523862963657,0.0,-4.03075507035278e-06,2.7575167023376215e-06,0.0,-0.19570447538452337,0.19570447538452337
1788759159.7042348,0.08000555732388451,0.08000555732388451,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.2943850233079244,0.08000433630622764,0.0,2.745384371016791e-06,1.8602415790547325e-06,0.0,-0.12758871575362918,0.12758871575362918,-0.015,0.095,1.0,0.0,0.0,0.2943763380580049,0.0800070970357893,0.0,-1.5831156344459085e-05,4.073560562534162e-06,0.0,-0.10481116231163522,0.10481116231163522,-0.015,0.095,1.0,0.0,0.0,0.29438222773782663,0.08000523862963657,0.0,-4.03075507035278e-06,2.7575167023376215e-06,0.0,-0.1961150605457434,0.1961150605457434
1788759159.7142584,0.08000529939847027,0.08000529939847027,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.297571224818892,0.0800042804946017,0.0,-3.4290660780533723e-06,8.537179388201638e-07,0.0,-0.1276883749622582,0.1276883749622582,-0.015,0.095,1.0,0.0,0.0,0.2975630489956022,0.08000660481790481,0.0,-1.4574929741217879e-05,4.619135714395428e-06,0.0,-0.10476067635481748,0.10476067635481748,-0.015,0.095,1.0,0.0,0.0,0.2975686108005399,0.0800050128829043,0.0,-7.4918986692235095e-06,2.268561838188882e-06,0.0,-0.19652731439855037,0.19652731439855037
1788759159.7241833,0.08000529939847027,0.08000529939847027,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.297571224818892,0.0800042804946017,0.0,-3.4290660780533723e-06,8.537179388201638e-07,0.0,-0.12778927851157057,0.12778927851157057,-0.015,0.095,1.0,0.0,0.0,0.2975630489956022,0.08000660481790481,0.0,-1.4574929741217879e-05,4.619135714395428e-06,0.0,-0.10471114759526737,0.10471114759526737,-0.015,0.095,1.0,0.0,0.0,0.2975686108005399,0.0800050128829043,0.0,-7.4918986692235095e-06,2.268561838188882e-06,0.0,-0.1969463890166648,0.1969463890166648
1788759159.734271,0.08000529939847027,0.08000529939847027,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.297571224818892,0.0800042804946017,0.0,-3.4290660780533723e-06,8.537179388201638e-07,0.0,-0.12789219378164063,0.12789219378164063,-0.015,0.095,1.0,0.0,0.0,0.2975630489956022,0.08000660481790481,0.0,-1.4574929741217879e-05,4.619135714395428e-06,0.0,-0.1046622308075998,0.1046622308075998,-0.015,0.095,1.0,0.0,0.0,0.2975686108005399,0.0800050128829043,0.0,-7.4918986692235095e-06,2.268561838188882e-06,0.0,-0.1973755030194001,0.1973755030194001
1788759159.7441885,0.08000529939847027,0.08000529939847027,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.297571224818892,0.0800042804946017,0.0,-3.4290660780533723e-06,8.537179388201638e-07,0.0,-0.12799487286656153,0.12799487286656153,-0.015,0.095,1.0,0.0,0.0,0.2975630489956022,0.08000660481790481,0.0,-1.4574929741217879e-05,4.619135714395428e-06,0.0,-0.10461499129204394,0.10461499129204394,-0.015,0.095,1.0,0.0,0.0,0.2975686108005399,0.0800050128829043,0.0,-7.4918986692235095e-06,2.268561838188882e-06,0.0,-0.1978052766393943,0.1978052766393943
1788759159.7542264,0.08000558140481166,0.08000558140481166,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.3007454609147536,0.08000507541984743,0.0,-2.407910313673156e-05,1.370260656516352e-06,0.0,-0.12810004076441545,0.12810004076441545,-0.015,0.095,1.0,0.0,0.0,0.3007370081100191,0.08000625489043203,0.0,-1.37376282274837e-05,3.916258303607312e-06,0.0,-0.1045681823355085,0.1045681823355085,-0.015,0.095,1.0,0.0,0.0,0.30074275008811313,0.08000541390415553,0.0,-2.0553513393056777e-05,2.252349529376086e-06,0.0,-0.19824711696422626,0.19824711696422626
1788759159.7642126,0.08000558140481166,0.08000558140481166,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.3007454609147536,0.08000507541984743,0.0,-2.407910313673156e-05,1.370260656516352e-06,0.0,-0.12820413713878748,0.12820413713878748,-0.015,0.095,1.0,0.0,0.0,0.3007370081100191,0.08000625489043203,0.0,-1.37376282274837e-05,3.916258303607312e-06,0.0,-0.10452337880193859,0.10452337880193859,-0.015,0.095,1.0,0.0,0.0,0.30074275008811313,0.08000541390415553,0.0,-2.0553513393056777e-05,2.252349529376086e-06,0.0,-0.19868604507657783,0.19868604507657783
1788759159.7741847,0.08000558140481166,0.08000558140481166,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.3007454609147536,0.08000507541984743,0.0,-2.407910313673156e-05,1.370260656516352e-06,0.0,-0.1283094300068671,0.1283094300068671,-0.015,0.095,1.0,0.0,0.0,0.3007370081100191,0.08000625489043203,0.0,-1.37376282274837e-05,3.916258303607312e-06,0.0,-0.10447956527697885,0.10447956527697885,-0.015,0.095,1.0,0.0,0.0,0.30074275008811313,0.08000541390415553,0.0,-2.0553513393056777e-05,2.252349529376086e-06,0.0,-0.1991315731340846,0.1991315731340846
1788759159.7841494,0.08000558140481166,0.08000558140481166,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.3007454609147536,0.08000507541984743,0.0,-2.407910313673156e-05,1.370260656516352e-06,0.0,-0.12841630803354231,0.12841630803354231,-0.015,0.095,1.0,0.0,0.0,0.3007370081100191,0.08000625489043203,0.0,-1.37376282274837e-05,3.916258303607312e-06,0.0,-0.10443659891368032,0.10443659891368032,-0.015,0.095,1.0,0.0,0.0,0.30074275008811313,0.08000541390415553,0.0,-2.0553513393056777e-05,2.252349529376086e-06,0.0,-0.19919669018447375,0.19919669018447375
